Region,Market,Chart,Name,Unit,Source,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Consumption Indicators,Consumer Spending - Clothing,Consumer Spending - Clothing,EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,819.2,958.72,"1,018.25","1,034.18","1,105.13","1,169.72","1,200.97","1,232.2","1,265.43","1,295.26","1,321.82"
France,Consumption Indicators,Consumer Spending - Clothing,Consumer Spending - Clothing,EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,650.8,699.21,750.86,759.97,793.21,821.28,826.82,833.13,840.89,846.86,849.84
Germany,Consumption Indicators,Consumer Spending - Household,Consumer Spending - Household,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,1.5,1.63,1.71,1.76,1.9,2.03,2.1,2.17,2.24,2.31,2.37
France,Consumption Indicators,Consumer Spending - Household,Consumer Spending - Household,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,0.98,0.97,1.04,1.08,1.15,1.22,1.25,1.29,1.33,1.37,1.41
Germany,Consumption Indicators,Consumer Spending - Miscellaneous,Consumer Spending - Miscellaneous,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.8,2.96,3.12,3.21,3.47,3.7,3.83,3.96,4.09,4.21,4.31
France,Consumption Indicators,Consumer Spending - Miscellaneous,Consumer Spending - Miscellaneous,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.5,2.63,2.82,2.93,3.12,3.31,3.4,3.51,3.62,3.72,3.82
Germany,Consumption Indicators,"Consumer Spending - Recreation, Culture","Consumer Spending - Recreation, Culture",thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.02,2.35,2.47,2.51,2.68,2.84,2.91,2.99,3.07,3.14,3.2
France,Consumption Indicators,"Consumer Spending - Recreation, Culture","Consumer Spending - Recreation, Culture",thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,1.52,1.69,1.83,1.89,2.01,2.13,2.19,2.25,2.32,2.39,2.44
Germany,Consumption Indicators,"Consumer Spending - Restaurants, Hotels","Consumer Spending - Restaurants, Hotels",thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,0.82,1.27,1.3,1.3,1.38,1.45,1.49,1.52,1.55,1.58,1.61
France,Consumption Indicators,"Consumer Spending - Restaurants, Hotels","Consumer Spending - Restaurants, Hotels",thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,1.23,1.73,1.72,1.75,1.85,1.94,1.99,2.04,2.09,2.15,2.19
Germany,Consumption Indicators,"Consumer Spending - Alcohol, Tobacco","Consumer Spending - Alcohol, Tobacco",EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,757.77,738.34,783.48,809.54,876.27,937.08,970.34,"1,002.74","1,036.17","1,066.31","1,093.34"
France,Consumption Indicators,"Consumer Spending - Alcohol, Tobacco","Consumer Spending - Alcohol, Tobacco",EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,824.68,793.37,842.89,870.32,926.39,978.6,"1,005.62","1,034.78","1,066.97","1,098.07","1,126.31"
Germany,Consumption Indicators,Consumer Spending - Transport,Consumer Spending - Transport,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.8,3.18,3.34,3.42,3.69,3.93,4.07,4.2,4.33,4.45,4.57
France,Consumption Indicators,Consumer Spending - Transport,Consumer Spending - Transport,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.52,2.89,3.07,3.15,3.34,3.52,3.61,3.71,3.81,3.91,4
Germany,Consumption Indicators,Consumer Spending - Education,Consumer Spending - Education,EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,180.99,187.98,197.11,199.84,212.83,224.41,229.55,234.69,240.27,245.26,249.71
France,Consumption Indicators,Consumer Spending - Education,Consumer Spending - Education,EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,104.34,109.52,117.39,123.25,133.67,143.91,150.71,157.98,165.9,173.84,181.5
Germany,Consumption Indicators,Consumer Spending - Communication,Consumer Spending - Communication,EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,498.15,517.18,539.96,551.05,590.78,626.92,645.1,663.18,682.31,699.6,715.11
France,Consumption Indicators,Consumer Spending - Communication,Consumer Spending - Communication,EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,493.42,499.46,534.17,549.77,583.3,614.06,628.76,644.61,662.22,679.03,694.02
Germany,Consumption Indicators,House Price - Per Square Meter,House Price - Per Square Meter,thousand EUR (€),Statista Market Insights,3,3.62,3.81,4.06,4.25,4.4,4.59,4.78,4.93,5.12,5.31
France,Consumption Indicators,House Price - Per Square Meter,House Price - Per Square Meter,thousand EUR (€),Statista Market Insights,2.88,3.44,3.56,3.67,3.82,3.96,4.09,4.24,4.43,4.59,4.8
Germany,Consumption Indicators,Rent Price,Rent Price - 3 Bedroom,thousand EUR (€),Statista Market Insights,1.03,1.18,1.17,1.21,1.24,1.26,1.29,1.32,1.34,1.37,1.4
France,Consumption Indicators,Rent Price,Rent Price - 3 Bedroom,thousand EUR (€),Statista Market Insights,0.98,1.1,1.1,1.12,1.14,1.16,1.18,1.21,1.23,1.25,1.27
Germany,Consumption Indicators,Rent Price,Rent Price - 1 Bedroom,EUR (€),Statista Market Insights,549.43,627.51,623.77,646.28,661.25,674.55,688.52,702.07,715,729.22,746.06
France,Consumption Indicators,Rent Price,Rent Price - 1 Bedroom,EUR (€),Statista Market Insights,521.77,589.92,586.97,599.77,611.17,620.7,632.78,644.66,657.22,668.51,679.8
